,Latinsk navn,Norsk navn,Antall,Input,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,Artsgruppe,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_id
59,Angelica archangelica litoralis,strandkvann,2,Angelica archangelica litoralis,130358,100267,Angelica archangelica litoralis,(Wahlenb.) Thell.,subspecies,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Angelica,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Angelica Angelica archangelica,strandkvann,strandkvann,,5371809
60,Angelica sylvestris,sløke,18,Angelica sylvestris,130365,100268,Angelica sylvestris,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Angelica,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Angelica,sløke,sløkje,,5371818
61,Anomodon longifolius,tepperaggmose,1,Anomodon longifolius,186522,104532,Anomodon longifolius,(Schleich. ex Brid.) C.Hartm.,species,,,Moser,Plantae,Bryophyta,Bryopsida,Hypnales,Anomodontaceae,Anomodon,,,,Plantae Bryophyta Bryopsida Hypnales Anomodontaceae Anomodon,tepperaggmose,tepperaggmose,,5283424
62,Anomodon viticulosus,kalkraggmose,3,Anomodon viticulosus,185330,104534,Anomodon viticulosus,(Hedw.) Hook. & Taylor,species,,,Moser,Plantae,Bryophyta,Bryopsida,Hypnales,Anomodontaceae,Anomodon,,,,Plantae Bryophyta Bryopsida Hypnales Anomodontaceae Anomodon,kalkraggmose,kalkraggmose,,5283423
63,Antennaria alpina,fjellkattefot,4,Antennaria alpina,143793,100408,Antennaria alpina,(L.) Gaertn.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Antennaria,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Antennaria,fjellkattefot,fjellkattefot,,5385561
64,Antennaria dioica,kattefot,31,Antennaria dioica,130402,100411,Antennaria dioica,(L.) Gaertn.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Antennaria,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Antennaria,kattefot,kattefot,,5385604
65,Anthelia julacea,ranksnømose,6,Anthelia julacea,183898,105090,Anthelia julacea,(L.) Dumort.,species,,,Moser,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Antheliaceae,Anthelia,,,,Plantae Marchantiophyta Jungermanniopsida Jungermanniales Antheliaceae Anthelia,ranksnømose,ranksnømose,,5286360
66,Anthelia juratzkana,krypsnømose,17,Anthelia juratzkana,183952,105091,Anthelia juratzkana,(Limpr.) Trevis.,species,,,Moser,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Antheliaceae,Anthelia,,,,Plantae Marchantiophyta Jungermanniopsida Jungermanniales Antheliaceae Anthelia,krypsnømose,krypsnømose,,5710214
67,Anthoceros agrestis,svartnål,1,Anthoceros agrestis,179048,103979,Anthoceros agrestis,Paton,species,,,Moser,Plantae,Anthocerotophyta,Anthocerotopsida,Anthocerotales,Anthocerotaceae,Anthoceros,,,,Plantae Anthocerotophyta Anthocerotopsida Anthocerotales Anthocerotaceae Anthoceros,svartnål,svartnål,,2689592
68,Anthoxanthum nipponicum,fjellgulaks,17,Anthoxanthum nipponicum,130454,99896,Anthoxanthum nipponicum,Honda,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Anthoxanthum,,,,Plantae Magnoliophyta Monocots Poales Poaceae Anthoxanthum,fjellgulaks,fjellgulaks,,4133640
69,Anthoxanthum odoratum,gulaks,32,Anthoxanthum odoratum,145636,99897,Anthoxanthum odoratum,L.,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Anthoxanthum,,,,Plantae Magnoliophyta Monocots Poales Poaceae Anthoxanthum,gulaks,gulaks,,2705975
70,Anthriscus sylvestris,hundekjeks,14,Anthriscus sylvestris,145514,100272,Anthriscus sylvestris,(L.) Hoffm.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Anthriscus,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Anthriscus,,,,5371742
71,Anthyllis vulneraria,rundbelg,16,Anthyllis vulneraria,61851,101891,Anthyllis vulneraria,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Fabales,Fabaceae,Anthyllis,,,,Plantae Magnoliophyta Eudicots Fabales Fabaceae Anthyllis,rundbelg,rundskolm,,5352367
72,Antitrichia curtipendula,ryemose,1,Antitrichia curtipendula,185298,104714,Antitrichia curtipendula,(Hedw.) Brid.,species,,,Moser,Plantae,Bryophyta,Bryopsida,Hypnales,Antitrichiaceae,Antitrichia,,,,Plantae Bryophyta Bryopsida Hypnales Antitrichiaceae Antitrichia,ryemose,ryemose,,2678391
73,Aplodon wormskioldii,kadavermose,1,Aplodon wormskioldii,187720,105048,Aplodon wormskioldii,(Hornem.) R.Br.,species,,,Moser,Plantae,Bryophyta,Bryopsida,Splachnales,Splachnaceae,Aplodon,,,,Plantae Bryophyta Bryopsida Splachnales Splachnaceae Aplodon,kadavermose,kadavermose,,5281515
74,Arabidopsis petraea,aurskrinneblom,2,Arabidopsis petraea,160539,101079,Arabidopsis petraea,(L.) V.I.Dorof.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Brassicales,Brassicaceae,Arabidopsis,,,,Plantae Magnoliophyta Eudicots Brassicales Brassicaceae Arabidopsis,aurskrinneblom,aurskrinneblom,,8068424
